{'loss': 0.42144274711608887, 'total-trian_loss': 0.42144274711608887, 'total-train-accuracy': 0.8439136147499084, 'bla-recall': 0.785495400428772, 'lyt-recall': 0.9000965356826782, 'ngb-recall': 0.4282083809375763, 'ngs-recall': 0.9036939144134521, 'bla-precision': 0.8768529295921326, 'lyt-precision': 0.8974975943565369, 'ngb-precision': 0.7154989242553711, 'ngs-precision': 0.8505794405937195} 
{'loss': 0.4238971769809723, 'total-trian_loss': 0.4238971769809723, 'total-train-accuracy': 0.842793345451355, 'bla-recall': 0.7854291200637817, 'lyt-recall': 0.8984007239341736, 'ngb-recall': 0.42307692766189575, 'ngs-recall': 0.902908444404602, 'bla-precision': 0.8754171133041382, 'lyt-precision': 0.8962928056716919, 'ngb-precision': 0.7118998169898987, 'ngs-precision': 0.8501812219619751} 
{'loss': 0.4248213768005371, 'total-trian_loss': 0.4248213768005371, 'total-train-accuracy': 0.8421952724456787, 'bla-recall': 0.7873170971870422, 'lyt-recall': 0.8998161554336548, 'ngb-recall': 0.4160671532154083, 'ngs-recall': 0.9032123684883118, 'bla-precision': 0.8781284093856812, 'lyt-precision': 0.8977532982826233, 'ngb-precision': 0.7125256657600403, 'ngs-precision': 0.848021924495697} 
{'loss': 0.4271268844604492, 'total-trian_loss': 0.4271268844604492, 'total-train-accuracy': 0.8408676981925964, 'bla-recall': 0.7849667072296143, 'lyt-recall': 0.9006741642951965, 'ngb-recall': 0.40930232405662537, 'ngs-recall': 0.9035016298294067, 'bla-precision': 0.8785942196846008, 'lyt-precision': 0.8950424194335938, 'ngb-precision': 0.7125505805015564, 'ngs-precision': 0.846623420715332} 
{'loss': 0.4274168908596039, 'total-trian_loss': 0.4274168908596039, 'total-train-accuracy': 0.840936005115509, 'bla-recall': 0.7839850783348083, 'lyt-recall': 0.8992112278938293, 'ngb-recall': 0.4100227653980255, 'ngs-recall': 0.9038919806480408, 'bla-precision': 0.8770833611488342, 'lyt-precision': 0.8964613080024719, 'ngb-precision': 0.7100591659545898, 'ngs-precision': 0.8473566770553589} 
{'loss': 0.42600008845329285, 'total-trian_loss': 0.42600008845329285, 'total-train-accuracy': 0.8412905335426331, 'bla-recall': 0.7863013744354248, 'lyt-recall': 0.8990158438682556, 'ngb-recall': 0.4104560613632202, 'ngs-recall': 0.9043006300926208, 'bla-precision': 0.8767820596694946, 'lyt-precision': 0.8978632688522339, 'ngb-precision': 0.7082533836364746, 'ngs-precision': 0.8471869230270386} 
{'loss': 0.4274916350841522, 'total-trian_loss': 0.4274916350841522, 'total-train-accuracy': 0.8407805562019348, 'bla-recall': 0.7835420370101929, 'lyt-recall': 0.8987447619438171, 'ngb-recall': 0.40716612339019775, 'ngs-recall': 0.9054105281829834, 'bla-precision': 0.8751248717308044, 'lyt-precision': 0.8968684673309326, 'ngb-precision': 0.7088847160339355, 'ngs-precision': 0.8458819389343262} 
{'loss': 0.4275670647621155, 'total-trian_loss': 0.4275670647621155, 'total-train-accuracy': 0.8408462405204773, 'bla-recall': 0.7844676971435547, 'lyt-recall': 0.8994252681732178, 'ngb-recall': 0.41082802414894104, 'ngs-recall': 0.9043574333190918, 'bla-precision': 0.875365138053894, 'lyt-precision': 0.8961145281791687, 'ngb-precision': 0.7113970518112183, 'ngs-precision': 0.8468188047409058} 
{'loss': 0.42837852239608765, 'total-trian_loss': 0.42837852239608765, 'total-train-accuracy': 0.8407738208770752, 'bla-recall': 0.7818648219108582, 'lyt-recall': 0.8989169597625732, 'ngb-recall': 0.4137214124202728, 'ngs-recall': 0.9049855470657349, 'bla-precision': 0.8746411204338074, 'lyt-precision': 0.8953256011009216, 'ngb-precision': 0.7158273458480835, 'ngs-precision': 0.8471423983573914} 
{'loss': 0.42826148867607117, 'total-trian_loss': 0.42826148867607117, 'total-train-accuracy': 0.8407044410705566, 'bla-recall': 0.7777777910232544, 'lyt-recall': 0.9000393748283386, 'ngb-recall': 0.41581109166145325, 'ngs-recall': 0.9046273231506348, 'bla-precision': 0.8774555921554565, 'lyt-precision': 0.893359363079071, 'ngb-precision': 0.7130281925201416, 'ngs-precision': 0.8482941389083862} 
{'loss': 0.42744654417037964, 'total-trian_loss': 0.42744654417037964, 'total-train-accuracy': 0.8408973217010498, 'bla-recall': 0.7786818742752075, 'lyt-recall': 0.8992307782173157, 'ngb-recall': 0.41448691487312317, 'ngs-recall': 0.9051575064659119, 'bla-precision': 0.8739725947380066, 'lyt-precision': 0.893730878829956, 'ngb-precision': 0.7128027677536011, 'ngs-precision': 0.8490259647369385} 
{'loss': 0.4274529814720154, 'total-trian_loss': 0.4274529814720154, 'total-train-accuracy': 0.841209352016449, 'bla-recall': 0.7767999768257141, 'lyt-recall': 0.9004899859428406, 'ngb-recall': 0.41552063822746277, 'ngs-recall': 0.905794620513916, 'bla-precision': 0.8747747540473938, 'lyt-precision': 0.8930841088294983, 'ngb-precision': 0.7169491648674011, 'ngs-precision': 0.8491105437278748} 
{'loss': 0.4287061393260956, 'total-trian_loss': 0.4287061393260956, 'total-train-accuracy': 0.8408864736557007, 'bla-recall': 0.7782981991767883, 'lyt-recall': 0.8997410535812378, 'ngb-recall': 0.4137931168079376, 'ngs-recall': 0.9067909717559814, 'bla-precision': 0.8760983943939209, 'lyt-precision': 0.8934606909751892, 'ngb-precision': 0.7188019752502441, 'ngs-precision': 0.8470149040222168} 
{'loss': 0.42706212401390076, 'total-trian_loss': 0.42706212401390076, 'total-train-accuracy': 0.84130859375, 'bla-recall': 0.7800766229629517, 'lyt-recall': 0.9003623127937317, 'ngb-recall': 0.4178403615951538, 'ngs-recall': 0.9059438109397888, 'bla-precision': 0.8775861859321594, 'lyt-precision': 0.8942065238952637, 'ngb-precision': 0.716586172580719, 'ngs-precision': 0.84779953956604} 
{'loss': 0.4271914064884186, 'total-trian_loss': 0.4271914064884186, 'total-train-accuracy': 0.8411158919334412, 'bla-recall': 0.7795335054397583, 'lyt-recall': 0.9007823467254639, 'ngb-recall': 0.42371323704719543, 'ngs-recall': 0.9032981395721436, 'bla-precision': 0.8772227168083191, 'lyt-precision': 0.8947368264198303, 'ngb-precision': 0.7103235721588135, 'ngs-precision': 0.8486762642860413} 
