{'loss': 0.44592249393463135, 'total-trian_loss': 0.44592249393463135, 'total-train-accuracy': 0.875, 'bla-recall': 0.8181818127632141, 'lyt-recall': 1.0, 'ngb-recall': 0.5, 'ngs-recall': 0.875, 'bla-precision': 1.0, 'lyt-precision': 0.8999999761581421, 'ngb-precision': 0.6666666865348816, 'ngs-precision': 0.7777777910232544} 
{'loss': 0.3291461169719696, 'total-trian_loss': 0.3291461169719696, 'total-train-accuracy': 0.8756219148635864, 'bla-recall': 0.8272920846939087, 'lyt-recall': 0.93202143907547, 'ngb-recall': 0.6392638087272644, 'ngs-recall': 0.8825215101242065, 'bla-precision': 0.8991888761520386, 'lyt-precision': 0.9286987781524658, 'ngb-precision': 0.6757457852363586, 'ngs-precision': 0.9077894687652588} 
{'loss': 0.32938051223754883, 'total-trian_loss': 0.32938051223754883, 'total-train-accuracy': 0.8745449185371399, 'bla-recall': 0.8267635107040405, 'lyt-recall': 0.9317883849143982, 'ngb-recall': 0.6421687006950378, 'ngs-recall': 0.8789327144622803, 'bla-precision': 0.89853435754776, 'lyt-precision': 0.9289450645446777, 'ngb-precision': 0.6670838594436646, 'ngs-precision': 0.9086043834686279} 
{'loss': 0.3284715712070465, 'total-trian_loss': 0.3284715712070465, 'total-train-accuracy': 0.8745557069778442, 'bla-recall': 0.8288016319274902, 'lyt-recall': 0.9310638308525085, 'ngb-recall': 0.6453900933265686, 'ngs-recall': 0.8782676458358765, 'bla-precision': 0.9004376530647278, 'lyt-precision': 0.9294817447662354, 'ngb-precision': 0.6650426387786865, 'ngs-precision': 0.9091276526451111} 
{'loss': 0.3272861838340759, 'total-trian_loss': 0.3272861838340759, 'total-train-accuracy': 0.8748553395271301, 'bla-recall': 0.8297455906867981, 'lyt-recall': 0.9305324554443359, 'ngb-recall': 0.6426076889038086, 'ngs-recall': 0.879330039024353, 'bla-precision': 0.9021276831626892, 'lyt-precision': 0.9297589063644409, 'ngb-precision': 0.6642599105834961, 'ngs-precision': 0.9094488024711609} 
{'loss': 0.3294990360736847, 'total-trian_loss': 0.3294990360736847, 'total-train-accuracy': 0.8748586177825928, 'bla-recall': 0.8326959609985352, 'lyt-recall': 0.9303462505340576, 'ngb-recall': 0.6381059885025024, 'ngs-recall': 0.881147563457489, 'bla-precision': 0.9025906920433044, 'lyt-precision': 0.9307253360748291, 'ngb-precision': 0.6674528121948242, 'ngs-precision': 0.9071729779243469} 
{'loss': 0.3298351466655731, 'total-trian_loss': 0.3298351466655731, 'total-train-accuracy': 0.875, 'bla-recall': 0.8339587450027466, 'lyt-recall': 0.9302788972854614, 'ngb-recall': 0.6422319412231445, 'ngs-recall': 0.8807439804077148, 'bla-precision': 0.9007092118263245, 'lyt-precision': 0.9306496381759644, 'ngb-precision': 0.6700913310050964, 'ngs-precision': 0.9078947305679321} 
{'loss': 0.32906413078308105, 'total-trian_loss': 0.32906413078308105, 'total-train-accuracy': 0.8754058480262756, 'bla-recall': 0.8344066143035889, 'lyt-recall': 0.930766224861145, 'ngb-recall': 0.6456102728843689, 'ngs-recall': 0.8799999952316284, 'bla-precision': 0.8998016119003296, 'lyt-precision': 0.930766224861145, 'ngb-precision': 0.6707452535629272, 'ngs-precision': 0.9088897109031677} 
{'loss': 0.330074280500412, 'total-trian_loss': 0.330074280500412, 'total-train-accuracy': 0.8748675584793091, 'bla-recall': 0.8358744382858276, 'lyt-recall': 0.929335355758667, 'ngb-recall': 0.6468750238418579, 'ngs-recall': 0.8789786696434021, 'bla-precision': 0.8987463712692261, 'lyt-precision': 0.9304015040397644, 'ngb-precision': 0.6713513731956482, 'ngs-precision': 0.9078757166862488} 
{'loss': 0.33214956521987915, 'total-trian_loss': 0.33214956521987915, 'total-train-accuracy': 0.8738330006599426, 'bla-recall': 0.8376963138580322, 'lyt-recall': 0.927819550037384, 'ngb-recall': 0.647118330001831, 'ngs-recall': 0.8776139616966248, 'bla-precision': 0.9005628228187561, 'lyt-precision': 0.9302676320075989, 'ngb-precision': 0.6701570749282837, 'ngs-precision': 0.9065155982971191} 
{'loss': 0.33289435505867004, 'total-trian_loss': 0.33289435505867004, 'total-train-accuracy': 0.8737296462059021, 'bla-recall': 0.8388746976852417, 'lyt-recall': 0.9262808561325073, 'ngb-recall': 0.6474677324295044, 'ngs-recall': 0.8781470060348511, 'bla-precision': 0.9002744555473328, 'lyt-precision': 0.9310855865478516, 'ngb-precision': 0.6694045066833496, 'ngs-precision': 0.9064449071884155} 
